langue,NbPostsTotal,%desPosts,NbPostsNONmedias,NbPostsMedias,PartMédiasNbPosts,Interactions,%desInteractions,InteractionsNONmedias,InteractionsMedias,PartMédiasInteractions,interactions/post,I/P-NONmedias,I/P-Medias
en,687359,"76,3733070814523%",626995,60364,"8,78201929413887%",6266091135,"82,1783928210919%",5944961471,321129664,"5,12488020173042%","9116,18402465087","9481,67285385051","5319,88708501756"
fr,118979,"13,2199035776706%",99423,19556,"16,4365140066734%",591239740,"7,75397780823375%",509199220,82040520,"13,8760158442665%","4969,27810790139","5121,54350602979","4195,15851912457"
es,24283,"2,69811410901568%",24275,8,"0,0329448585430136%",237139232,"3,11002833197511%",237119999,19233,"0,00811042518683707%","9765,64806654861","9768,07410916581","2404,125"
ar,14609,"1,62322402580447%",14609,0,0%,159254298,"2,08858472970346%",159254298,0,0%,"10901,1087685673","10901,1087685673",0
tr,10826,"1,20289022543358%",10826,0,0%,43733091,"0,573549770351139%",43733091,0,0%,"4039,63523000185","4039,63523000185",0
pa,8374,"0,930445478272754%",8374,0,0%,63717860,"0,83564557488667%",63717860,0,0%,"7609,01122522092","7609,01122522092",0
hi,4884,"0,5426672696303%",4884,0,0%,22500027,"0,295082854279484%",22500027,0,0%,"4606,88513513514","4606,88513513514",0
pt,4500,"0,500000555556173%",4498,2,"0,0444444444444444%",40787966,"0,534925110424737%",40776831,11135,"0,0272997187454751%","9063,99244444444","9065,54713205869","5567,5"
tl,4310,"0,478889420988246%",4306,4,"0,0928074245939675%",64226188,"0,84231218364897%",64200670,25518,"0,0397314565827883%","14901,66774942","14909,5843009754","6379,5"
fa,4037,"0,448556053951171%",4037,0,0%,20492957,"0,26876057722894%",20492957,0,0%,"5076,28362645529","5076,28362645529",0
bn,1712,"0,190222433580482%",1712,0,0%,13650851,"0,179027877452056%",13650851,0,0%,"7973,62792056075","7973,62792056075",0
am,1486,"0,165111294568105%",1486,0,0%,5586664,"0,0732678569239247%",5586664,0,0%,"3759,53162853297","3759,53162853297",0
vi,1042,"0,115777906419896%",1042,0,0%,8611579,"0,112938944969856%",8611579,0,0%,"8264,47120921305","8264,47120921305",0
it,1020,"0,113333459259399%",1009,11,"1,07843137254902%",7911248,"0,103754259528349%",7878810,32438,"0,410023804082491%","7756,12549019608","7808,5332011893","2948,90909090909"
pl,922,"0,102444558271731%",921,1,"0,108459869848156%",5985984,"0,07850484998935%",5979328,6656,"0,111193080369076%","6492,39045553145","6492,21281216069",6656
ht,868,"0,0964445516050573%",868,0,0%,3595416,"0,0471530818875074%",3595416,0,0%,"4142,18433179724","4142,18433179724",0
inconnue,849,"0,0943334381482646%",847,2,"0,235571260306243%",4790991,"0,0628327823387644%",4784124,6867,"0,14333151533785%","5643,09893992933","5648,31641086187","3433,5"
ko,693,"0,0770000855556506%",693,0,0%,2567885,"0,0336772411544872%",2567885,0,0%,"3705,46176046176","3705,46176046176",0
so,684,"0,0760000844445383%",684,0,0%,3717989,"0,0487605995450462%",3717989,0,0%,"5435,65643274854","5435,65643274854",0
