,sum,len
,interactions,interactions
page,,
Womenworking.com,120486608,2855
Lessons Learned In Life Inc.,75840166,2846
DJ Loonyo,51714273,261
Aunty Acid,39460102,2650
Shared,22648193,2521
Stories of Jesus,21714571,185
NFL Memes,19455217,1347
Introvert Problems,18410577,966
theScore,18194636,1882
Goalcast,17594219,544
Rising Back Again,16046804,1209
This Is Why I'm Single,15510840,1043
Esther the Wonder Pig,13403319,1038
Dua Lipa,12728437,272
Justin Trudeau,12723395,515
مشاري راشد العفاسي - Alafasy,12546522,285
Banglar Rannaghor,11589707,223
La Parole Vivante,11589115,2066
Freshdaily Canada,11547105,1171
Holy Mary,10695677,895
Mushfiqur Rahim,10365602,103
Tambayan Ni BERTO Pilipinas,9497080,244
TVA Nouvelles,9436427,1668
Ben&Ben,8956638,169
Diply,8823962,919
BMW /// M,8294354,745
The Daily Goalcast,8175763,464
Screen Rant,8169909,1298
Dogs are family,7603266,654
Motivational Quotes,7561320,1036
AJ’s and ME,7516697,393
Gül Cenneti,7512036,1278
Greek Gateway,7369007,513
El principito,7289166,525
HotCars,7174630,532
CBC News,6975450,1093
Mr.Hungry - شيف شاهين,6919153,119
Moms United - Moms.com,6755503,808
CTV News,6586387,1101
What.If,6521139,378
Diego Saul Reyna,6457824,65
Introvert Nation,6445402,444
Funny ~ Good Morning ~ Images ~ Quotes,6312258,534
Silly Hippy,5751401,780
Quotes Made with Love,5734416,959
Black Adam Schefter,5715378,954
Just For Laughs Gags,5710792,227
Diply Facts,5710630,867
Sportsnet,5688354,275
What If Español,5637215,158
blogTO,5612367,1009
Kajal Agarwal FC,5453553,332
Fashion Beauty Kids,5418785,958
K-W Urantia Society,5409681,43
Fake SportsCenter,5295870,614
The Oreo Cat,5278563,359
Ismaili Heritage,5123020,888
Woodworking Enthusiasts,4944529,668
Canada Proud,4885082,940
Crafty,4835383,337
How To Cake It,4820047,174
Global News,4725323,844
RJ Abhinav,4724551,35
Nicky Jam,4665419,186
Jessy Erinn,4565863,139
Paradobikers,4558607,342
Michael Bublé,4468104,138
6 MeMes 9,4456862,324
Beautiful_Animals,4377945,302
Dad Patrol,4373856,321
𝓜𝓾𝓼𝓬𝓵𝓮 𝓒𝓪𝓻𝓼 𝓣𝓾𝓷𝓲𝓷𝓰 & 𝓖𝓲𝓻𝓵𝓼,4320808,911
The Journey Home,4270178,515
Bhagwad Geeta - Lord Krishna,4208030,1035
Dawn French Fan Club,4163810,456
AC Bonifacio,4093507,251
That duck stole my ciggy,4040002,576
Savage AF,4000555,540
Meanwhile in Canada,3902390,367
Alok,3867228,120
Drumeo,3829982,240
El Salvador Tu Pais Descubrelo,3814114,610
African Heroes,3776931,241
Hahahaha_,3747679,572
ALL MEMES,3746154,412
Pluto Living,3731401,124
Eminem,3710377,40
Indi Jaswal,3635720,161
Jeff Mack Designs,3550858,161
Harry Styles,3519244,48
Anne-Marie,3396707,126
Sebastián Villalobos,3364121,149
Shared: Vintage,3325869,520
Coconut Rice Bear,3265007,139
Chills,3238139,98
The Hearty Soul,3221072,329
Audrey Loves Paris,3212430,466
NTD Canada,3187185,446
Ontario Proud,3183057,772
Master KG SA Music,3167546,145
TikTok Epic Pranks,3142674,1
Psychcomedy,3133315,373
ipnoze,3131149,313
Narcity Canada,3081130,506
A Good Muslim,3056060,360
IDGAF Mama’s,2990002,432
Just Kidding,2958539,200
Collective Evolution,2943467,505
Coldplay,2942944,110
François Legault,2935361,288
Tinykittens,2813849,138
OMG,2793037,442
Jade the Sable GSD,2768264,127
Kanye's Diary,2714972,162
Chris Brown,2698178,28
Thug Wife. Mom Life.,2668792,264
Shih Tzu World,2665733,307
ConneriesQc,2660336,550
MONTREALITY,2651998,225
Dr. Miguna Miguna,2646869,517
Radio-Canada Information,2638916,457
Lucky Lou and Coco Too,2631662,245
Our Earth,2629820,491
Life Stories,2629663,308
"I don't like anything, I don't go outside",2585726,371
Rita Ora,2576796,148
Savvy,2536800,457
We Love The 90s - Urban Music,2524879,279
Daily Driven Exotic Cars,2437667,214
Narcity USA,2339512,280
Farmhouse Is My Style,2325805,399
Swami Dipankar,2323064,152
Square Body Aholics,2308304,187
North99,2290947,393
Aishwarya Rai Bachchan - Instagram,2279609,125
Native Americans,2271362,482
Adam Ellis,2246798,113
Pablo Alborán,2244756,171
David Guetta,2235544,37
Shareable World,2206497,430
Warner Music Philippines,2198462,159
𝚂𝚎𝚎𝚗.,2197215,448
Le Journal de Montréal,2170830,485
Star Canada TV,2120764,179
Mahleej Sarkari,2095684,186
Tips & Crafts,2049763,254
Ruby Roxx,2015681,374
Just for Laughs,2008502,44
La solution est en vous,1996645,486
Barney the West Coast Cockatoo,1967574,370
cutepolish,1956127,313
BabyGaga,1946072,422
عائلة life is beautiful,1934863,145
Anxiety,1914015,248
Bullet and Jeep Lovers,1908118,311
Jason Kenney,1871047,411
theScore esports,1850030,248
TheGamer,1848385,366
Andrew Scheer,1830777,322
"Ｌｏｖｅ, Ｓｅｘ, Ｉｎｔｅｌｌｉｇｅｎｃｅ",1830220,297
Pooja's Broomstick,1822492,277
CheeseNguyeen,1821905,129
Aryana Sayeed آريانا سعيد,1811659,179
What If हिंदी,1805827,86
We can end abortion,1804225,241
Cute n' Country,1789828,363
Black_beautifulclassy,1781531,352
Happily Ever Esther Farm Sanctuary,1776057,461
Animal Save Movement,1773464,248
Chloe Sunderland Page,1766982,265
Moalifc,1764187,108
The Science Explorer,1751138,345
Life Of A Server,1748602,237
يوميات فهد العرادي - Fahad Alaradi,1727024,169
Gorillaz,1722684,111
Game Rant,1717536,348
LIFE Inspiration,1698159,331
Slipknot,1695591,116
Mère ordinaire par Bianca Longpré,1639335,205
Tracy Kiss,1622866,215
Harm's Way running man to various songs,1607013,213
The Post Millennial,1603593,358
Troublemaker Mom,1597424,324
The Best Ideas for Kids,1590082,184
Wizkid,1576358,79
HotNewHipHop.com,1566143,296
The Pun Guys,1561496,90
Welcome QATAR,1558236,286
ET Canada,1544799,182
Love Afghanistan Page,1534702,228
Inspire Your Beautiful Soul,1532365,308
Cholo Challenge Dance To Different Songs,1523593,126
The Melisizwe Brothers,1519585,76
Erin O'Toole,1512784,236
Diply Hello,1506261,79
Reshareworthy,1503300,229
Cannadish,1488959,296
My Bollywood Body,1475178,137
WatchMojo,1466734,166
Deadpool Fans,1438009,223
DIY Home Decorating,1437778,157
البابا فرنسيس,1435698,314
يا مزيون شنو هذا,1434432,132
Captain Marufur Rahman Raju. Retd,1428885,338
CityNews Toronto,1421790,299
Louis Tomlinson,1418209,62
Super Remedios,1398004,201
Comic Book Resources,1390808,311
Swae Lee,1389557,120
Bonnie Rotten,1384910,179
Cassandra Fox,1373678,38
Cowboy Classifieds Inc.,1359641,162
Anitta,1349226,111
DogHeirs,1344059,162
Momo,1343271,97
R e a l $ h i t Binibini,1338566,58
Diply Trending,1331288,249
Borzah Yankey,1315505,46
Hypothyroid Mom,1300717,156
"Arts, Artists, Artwork",1299361,288
This Page Will Blow Your Mind,1283500,232
Sarah's Scribbles,1283091,19
La parfaite maman cinglante,1274115,297
"Scrantonicity ""The Office"" Memes and More",1273486,118
Friends Forever,1260790,69
Dave Leduc,1254274,107
Les candidats du paradis firdaws,1249906,248
John Nonny,1242888,25
Batdad,1234069,35
Narcity Québec,1230111,248
Geeky Memes,1228925,164
NBA Memez,1217577,187
Global BC,1215269,306
تيم زينب  Zainab family,1209080,51
Toronto Raptors,1205682,223
L'Anti-Média,1200350,267
Tv 21 News Reporter ilyas Baig,1190432,100
Maa Chintapurni,1186539,234
Yo Soy Emprendedor,1185717,333
Kamaldeep Kaur Khangura,1185594,124
Throwbacks,1181980,209
Thầy Thích Pháp Hòa,1176652,211
The Biology of Belief,1166404,248
Madea Quotes,1161968,26
"A Spiritual Journey with Jesus, The Divine Mercy",1159522,19
TheRichest,1153313,278
Charlie Puth,1150428,39
The Relationship Room,1144321,216
Not Rupi Kaur,1132968,272
Dnevna doza prosečnog Srbende,1131789,202
Horror Lives Here,1126633,211
Christian Lalama,1126159,64
6 Shit 9,1112130,159
Canadian Police Association,1094372,189
Ali Gatie,1090952,53
CP24 Toronto's Breaking News,1087838,264
Ele A El Dominio,1087567,173
iDentité Québec,1087186,24
Johnrexxv,1083174,50
Life with Shih Tzus,1080821,206
livekabaddi.com,1080228,171
Sidhu Moose Wala,1080110,45
One Little Project,1079480,244
CANADABALL,1078260,45
Oil Sands Action,1071040,228
James Fell,1070598,228
Tina Glamour,1069405,88
Trucs & Bricolages,1068610,206
WatchMojo Español,1068144,153
Geek Girls,1067349,169
Mrs. Claus,1063209,310
Stop Hating and Start Loving Justin Bieber,1062405,199
Gaming TV,1061956,287
Cat & Nat,1060809,168
Wholesome Memes,1042821,158
Punjabi TODAY,1033798,83
Destination British Columbia,1030946,87
Alberta Proud,1029267,248
Food Network Canada,1027280,119
Jordan Peterson's Neverneverland Ranch for High IQ Lost Boys,1024837,235
Hoodsite,1016189,69
Yankey Borzah,1000222,40
Laughter is good for the Soul,998643,189
Aba & Preach,989883,109
Afrojack,987239,118
Gfycat,978645,10
Star Wars Fan,976506,165
Salons des animaux exotiques du Québec,974898,225
Dj loonyo-ko,974556,129
Free Quran Education,973180,40
Landyachtz,968258,4
Let’s Travel,965786,128
Gabriel Tellier,962525,242
Mommy Needs A Minute,962274,104
Travis Barker,958580,12
Voice of Doraemon,958510,15
Jinnah’s Pakistan,951441,186
Mundo Novedoso,949454,160
Zoo sauvage de Saint-Félicien,946943,52
Suki The Cat,945036,61
Naghma zar,941844,86
Mata Naina Devi,941430,158
Take A Part Now,940542,84
Le Journal de Québec,937669,189
Alcohol Memes,935177,130
Aesthetically Pleasing Asian Girls,933307,224
RxLeaf,928139,215
Horror Forever,924865,163
Daily Hive Vancouver,924853,239
Bangtan Memes For Clear Skin,921117,198
Gia Marie Macool,920090,47
Extra Fabulous Comics,918301,70
Hukamnama Sri Darbar Sahib Amritsar,916284,220
Hz Muhammed Aşkı,914852,266
Bieber My Balls,907924,100
Jesus is Alive,906433,128
Angola Acorda,904350,113
Propulsion,898655,53
Hassan elfed,897278,59
AB6IX,896562,205
Yasir Qadhi,895360,122
Pierre Poilievre,893986,109
Indochine officiel,893826,151
Roddy Ricch,892872,44
Avengers: Infinity War Fans,891725,136
Nerds of the Force,888262,240
La Presse,883314,219
Les Mots Positifs,883062,181
Kuruma,882842,107
Muster Point Memes,880947,138
TV Punjab,877873,106
This Hour Has 22 Minutes,876606,65
Liam Gallagher,871614,108
Kruger Construction,871347,41
Kara Cooper,870146,81
Joji,868374,40
TSN,864747,165
Inspire Positive Soul Sensations,864357,173
Matchbox Twenty,862624,58
C. Cassandra,861451,52
Shorty and Kodi,860984,108
Lisa Lou Who,849349,63
Jordanian Mercedes Club,844629,88
Sheikh Azhar Nasser,836571,213
Freebies,836148,99
Conservative Party of Canada - Parti conservateur du Canada,834879,173
Kylinder Kaur,834577,63
Lfercha,834202,191
Meme Qc,834144,137
ScoopNow,830887,32
Roger Waters,829936,77
صحيفة الراكوبة - اخبار السودان لحظة بلحظة,828658,215
Trixx,828645,60
Cartoon for Kids,824410,134
Niggachickensticks,823625,111
Norwood Portable Sawmills,822933,41
CPTSD and me,820410,171
Harley world,816868,84
The Beaverton,813499,162
6Foot4Honda Motovlogs,813471,3
BuzzClip.ca,812652,182
Drillers Club,812161,208
Explored Planet,811008,253
Sense Of Art,810459,54
Franck Nicolas,805080,208
Miley Cyrus,804447,59
Diljott,803024,116
Manualidades Creativas,802478,109
My Miss Kitty-Face's Gang,797198,183
FordNation,789348,159
GeekQc,788459,168
CTV Edmonton,785300,207
Shaykh Nurjan Mirahmadi,782103,73
Faouzia,779700,63
K.S.I,776595,89
JoBlo Movie Trailers,775676,84
The Recipe Rebel,775623,172
Shit Academics Say,774815,108
Global Edmonton,768206,206
BMW Motorcycle Scene,766894,122
Makkah Live,763157,130
Log Homes,760975,159
"Cool stuff, Interesting stuff, News",758628,115
The Doors,755958,114
Sunitha Devadas,754238,118
CBC,751714,119
Toronto Maple Leafs,751513,186
All Crafts & DIY,745849,60
Aaron Gunn,744478,73
Élevage Cochons miniatures,741097,19
Kamal Heer,730639,82
Vancouver Is Awesome,729735,158
CBC Calgary,727934,116
Bai apa ta Sidhu Moose wale de fan aa,727137,89
ViralSlot,726586,150
Col. Chris Hadfield,722141,95
Brambleberry Cottage,721631,148
Christian de Vera,721064,34
Learning In Life,720666,180
Native Entertainment News,719934,126
Kış Güneşi,716977,216
Star Wars World,711630,131
Harry Sandhu,710315,26
Steve Jenkins,709623,120
Rosie Gabrielle,708581,43
داد از جدايى,705015,121
Jann Arden,702668,79
Guru Ghantal,701542,185
BuzzUltra,701536,128
Patty Mayo,700767,81
Tabarnak,700019,176
Simi Chahal,692992,124
Bassel Ismail,692548,85
Apo ng Mamay,690990,39
Rimz J,685749,58
Amber Marshall,684745,129
Gök Tanrı - Tengri,683126,193
The Kdom,681185,168
Canada's Energy Citizens,680638,157
Butting Heads,678957,38
My Bible,674963,203
Mozhdah Jamalzadah مژده جمالزاده,672745,93
Whitesnake/David Coverdale,671378,82
"Planes, Trains and Automobiles",670266,110
Sherlock Fans,668451,95
Streets Of Toronto,664256,182
The Birds Papaya,660986,86
Manmohan Waris,658830,53
Gym Fail Nation,656995,94
Zhavia,655159,55
Horror Vibes,649424,116
Lele Pons,645777,35
La voix des animaux,644960,132
Boston Terrier World,641386,191
Healthy Canadians,637813,52
The Weather Network,636977,101
Bianca Beauchamp,636906,103
Luxlo Cosplay,627953,174
Toronto Sun,625965,69
Canadiens de Montréal,623986,128
"I,Hypocrite",623684,139
It's never too late to start living,623457,16
Best TV shows,622280,43
RDS,621604,127
Gratuit,620238,119
Olivier Primeau,615643,110
The Newfoundland Turnip,614418,110
HunniBee ASMR,614109,122
Stoked,607996,13
APTN National News,606537,67
True North,606144,162
Fame10,597380,153
EMCI TV,594792,132
BPD and Chill,594273,118
CBC News: The National,586296,78
Inkbox Tattoos,586130,7
CBC Newfoundland and Labrador,584876,126
Roxette,584303,107
The Toronto Zoo,583485,112
السياسة بالفلاّقي,580014,96
Marocains du Canada,575692,41
XFL Memes,575614,113
CBC Indigenous,571567,109
Ministère Paul Mukendi,569664,116
Humans Who Grow Food,568359,144
Powwow Times,568351,152
Justin Trudeau Not,567980,154
The Beatles Universe Features Page,564871,178
Sheldon Cooper Forever,564149,62
Sakimi chan,562414,74
Paul Zizka Photography,560515,127
Jeremy Demay,558112,14
Megan Thee Stallion,557083,56
Marvel Fandom,554833,101
CBC Vancouver,554247,122
Health is Wealth,553613,118
The Tattooed Gardener,553108,78
Les Conneries des Animaux,551787,80
Unofficial PMO India,551321,148
Baltej Pannu,549779,139
Charlotte Curve Model,547578,36
CheeseNguyeen Nghịch Ngợm,547570,37
ትግርኛ Tigrigna,545857,92
Pierre Alex Jeanty,542698,79
Michelle C. Smith,542184,14
Catherine Dorion,539917,45
Pokémon Planet Scizor,539529,137
Jhonson Napoleon,538280,122
Lyfe Lessons,537325,34
KhanaPakana.com,536786,91
Prince,535791,66
Mountain Cabins,534869,95
Green Healthy Cooking,534495,88
Mohamad Osso محمد اوسو,533954,18
Deep Sidhu,532987,71
Mulatto,532679,107
Psychic Medium Michelle Russell,531175,139
QUÉBÉCOIS,527525,110
Hockey Night in Canada,527461,75
Medico Loco,525102,84
Hayley Williams,523162,62
Djamboola Fitness International,518339,3
Chan Chandani Raat Mehrma,518130,48
Yup That Exists,515954,49
ابو ليلى | ملك التلطيـش,515823,18
Sammy Dhaliwal,514797,66
Injun Comedy,514714,78
La page TDAH,514580,23
Paul Nicklen Photography,512274,122
𝐶𝘩𝑒𝑟𝑟𝑦,510705,53
Ideas de fiestas,510246,77
bossbens show,507502,98
Méthode Ho'oponopono,507190,74
Pinkbike,506307,51
Fire Donald Trump,504926,161
