fbID,page,code,nb,media
77018529522,Womenworking.com,womenworking,15722,
543062075763417,La Parole Vivante,laparolevivante,12354,
109759299095785,Lessons Learned In Life Inc.,lessonslearnedinlife,12331,
102431356496398,Shared,sharedofficial1,11338,
200144556761182,Aunty Acid,auntyacid,9936,
11971032036,theScore,theScore,9327,media
1452206708334548,Kajal Agarwal FC,imkajufan,8816,
165890310135374,Dawn French Fan Club,Dawnfrenchfan,8530,
163706859094,TVA Nouvelles,TVAnouvelles,7811,media
408320822597638,Black Adam Schefter,BlackAdamSchefter,6969,
5823419603,CBC News,cbcnews,6227,media
10765693196,Screen Rant,ScreenRant,6047,
1756069854463112,Gül Cenneti,Gulcennetii,5989,
498655083561490,NFL Memes,nflmemes4you,5573,
237061956027,Diply Facts,diplyfacts,5557,
271915499553486,Diply,diply,5277,
194553860586548,CTV News,CTVNews,5178,media
166259473465593,ConneriesQc,conneriesqc,4962,
555765784461423,TheGamer,thegamercom,4826,
704872976211573,Rising Back Again,RisingBackAgain,4816,
506496949457534,Esther the Wonder Pig,estherthewonderpig,4720,
425958360788038,Silly Hippy,sillyhippylol,4675,
897393153671209,Goalcast,goalcast,4663,
258519414170130,Bhagwad Geeta - Lord Krishna,TheGita,4652,
669722073120973,Quotes Made with Love,QuotesMadeWithLove,4630,
56843501703,Moms United - Moms.com,OfficialMoms,4334,
1246259845471061,NTD Canada,NTDTelevisionCA,4150,
30843680008,blogTO,blogto,4084,media
114019975312443,Global News,GlobalNews,4073,media
156078114420656,Motivational Quotes,motivationalquotes,4069,
295955063764301,Holy Mary,holymary.amen,4022,
1693504040927699,Ontario Proud,OntarioProud,3913,
928320254020115,Freshdaily Canada,freshdailycanada,3871,
177737989089022,BMW /// M,BMW.M.I.LOVE.BMW,3781,
1708858959381301,Yo Viral,yoviralguru,3607,
135226476595920,BabyGaga,babygaga,3568,
1534814760124292,Ismaili Heritage,IsmailiHeritage,3539,
187000618322282,This Is Why I'm Single,HiveMediaThisIsWhyIAmSingle,3468,
1049503415116099,Introvert Problems,IntrovertUnites,3447,
131929868907,Collective Evolution,CollectiveEvolutionPage,3395,
817753511685471,Fake SportsCenter,fakesportscenter,3259,
305277792881537,Savvy,savvynews,3216,
260119990759156,TheRichest,TheRichest.org,3212,
431518046869384,"Ｌｏｖｅ, Ｓｅｘ, Ｉｎｔｅｌｌｉｇｅｎｃｅ",LoveSexIntelligence,3108,
158638357572278,Funny ~ Good Morning ~ Images ~ Quotes,DailySmiles,3013,
1300629413289872,Troublemaker Mom,TroublemakerMom,2985,
907253646047633,OB Prestige Auto,OBCARPRESTIGE,2897,
218621588202473,Dogs are family,DogsAreFamily,2821,
119670598057754,Comic Book Resources,ComicBookResources,2760,
460428314062652,Cute n' Country,cuteandcountry,2759,
1079859882072652,OMG,OMGbyShared,2755,
290751417706148,Fashion Beauty Kids,fashionbeautykids,2695,
129304317251326,Stories of Jesus,StoriesofJesus,2664,
223228547765912,Ta vie en texto,Tavieentexto,2662,
335248206510387,La solution est en vous,lasolutionestenvous,2660,
310832729029858,Jessy Erinn,JessyErinnxo,2652,
1594589180817644,Ayoye - Conneries,AyoyeConneries,2619,
882226925211697,Introvert Nation,TheIntrovertNation,2492,
196811893713772,Shared: Vintage,shared.vintage,2433,
251089648271407,Meanwhile in Canada,MeanwhileinCanada1,2371,
329461383791573,HotCars,hotcars.official,2366,
254934824680430,Woodworking Enthusiasts,wonderfulwoodworking,2340,
220942375077886,Canada Proud,CanadaProud.org,2339,
1418868275098941,Ayoye France,AyoyeFrance,2328,
120693171297777,Andrew Scheer,AndrewScheerMP,2246,
735175299879547,Narcity Canada,NarcityCanada,2229,media
21751825648,Justin Trudeau,JustinPJTrudeau,2181,
1989987651232446,𝓜𝓾𝓼𝓬𝓵𝓮 𝓒𝓪𝓻𝓼 𝓣𝓾𝓷𝓲𝓷𝓰 & 𝓖𝓲𝓻𝓵𝓼,tuningcarsgirl,2176,
148192078555388,Daily Hive Vancouver,dailyhivevancouver,2171,media
167184886633926,The Science Explorer,TheScienceExplorer,2144,media
1620671104923850,"I don't like anything, I don't go outside",pinnacleofcynical,2117,
1086915341366522,The Relationship Room,TheRelationshipGuide101,2112,
813846721994466,The Hearty Soul,theheartysoul,2102,
103984323029572,Le Journal de Montréal,jdemontreal,2089,media
491750840875537,Diply Trending,diplytrending,2048,
141223195922280,Greek Gateway,GreekGateway,2022,
1339965909481783,The Daily Goalcast,dailygoalcast,1983,
468171196573560,Ruby Roxx,rubyroxxmodel,1970,
174446452713479,Diply Humor,diplyhumor,1926,
706222686068503,Mrs. Claus,MrsClaus.NorthPole,1919,
1477498309219659,Paradobikers,paradobikerss,1907,
498852763509793,Gök Tanrı - Tengri,goktanritengri,1894,
269510006497932,My Bible,MyBibleVerses,1848,
291034431399467,Kış Güneşi,kisgunesi,1831,
575682999124846,DIY Home Decorating,diycozyhome,1830,
178835736054,TSN,TSN,1820,media
315551152214731,El Salvador Tu Pais Descubrelo,tupaisdescubrelo,1799,
307260356042623,Shareable World,ShareableWorld,1770,
110343285691930,مشاري راشد العفاسي - Alafasy,Alafasy,1643,
271036236431606,Narcity Québec,NarcityQuebec,1633,media
102187333823774,Mera punjab,meratvpunjab,1618,
2220447418019773,IDGAF Mama’s,idgafmamas,1579,
131191820259167,Radio-Canada Information,radiocanada.info,1566,media
839688586159671,Kanye's Diary,KanyesDiary,1564,
1532259173678361,ViralSlot,ViralSlot,1563,
710897528959597,Happily Ever Esther Farm Sanctuary,happilyeveresther,1557,
1310643965657191,Throwbacks,throwbacksbyshared,1556,
2063226217276454,6 Shit 9,6sheet9,1553,
111205492259562,ipnoze,ipnoze,1525,
432635687102468,يوميات فهد العرادي - Fahad Alaradi,Alaradii,1525,
1583023452009820,Drillers Club,drillersclub,1480,
8475622807,Global BC,GlobalBC,1472,media
103863031495,Sportsnet,sportsnet,1451,media
1030703210316776,Learning In Life,learninginlife,1442,
1919973584883295,North99,wearenorth99,1441,
123471471072112,Dua Lipa,DuaLipa,1437,
1571289526456424,Ayoye OMG,AyoyeOMG,1427,
561024977248886,Audrey Loves Paris,AudreyLovesParis,1418,
167470253412,Maa Chintapurni,maa.chintapurni,1415,
205341043571651,Life Stories,LifeStories.Goalcast,1413,
329304790529597,Saviez-vous que ?,SaviezVousQueOfficiel,1412,
231459087263835,The Best Ideas for Kids,thebestideasforkids,1395,
101033613288663,QC Lifestyle,qc.lfstl,1380,
135622170119,"Arts, Artists, Artwork",artsartistsartwork,1375,
187409728089635,The Journey Home,WillyNyweningAuthor,1361,
5661704203,Conservative Party of Canada - Parti conservateur du Canada,cpcpcc,1357,
7078490926,Global Edmonton,GlobalEdmonton,1354,media
220499648378668,RxLeaf,RxleafMD,1351,
436240976441232,One Little Project,onelittleproject,1339,
356312257818289,Cat & Nat,catandnat,1296,
527194514089238,La parfaite maman cinglante,laparfaitemamancinglante,1295,
718044328285323,Captain Marufur Rahman Raju. Retd,CaptainMarufRaju,1294,
1773237722991515,Anxiety,AnxietyProblem,1292,
